loci,mean_ratio,confidence_lower_bound,confidence_upper_bound
0,0.4554,0.4509,0.4599
2,0.4381,0.4323,0.4441
258,0.4383,0.4312,0.4454
358,0.4429,0.4259,0.4606
371,1.8286,1.661,2.0131
393,1.0281,0.9717,1.0877
504,1.0092,0.9947,1.0240
576,1.0449,1.0292,1.0609
669,1.6818,1.6426,1.7218
736,2.0855,1.9805,2.1959
747,1.7146,1.664,1.7667
772,1.2601,1.1951,1.3286
833,2.0332,1.926,2.1463
850,2.4991,2.3892,2.6141
906,2.551,2.4862,2.6175
1012,4.0092,3.4669,4.6362
1077,2.6971,2.3733,3.0651
1120,5.5511,5.2919,5.8229
1144,2.1128,2.0179,2.2122
1224,2.2792,1.7966,2.8914
1249,2.126,1.6837,2.6846
1272,1.4422,1.3934,1.4928
1285,0.7757,0.7641,0.7875
